SymbolName;Type;Direction;ComponentName;Function;DriveType;VarName;VarPath
Gleitschiene_Links_AXIS;FLOAT32;READ;Gleitschiene_Links;Kinematic;;KinAxis;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/EndoflHubgeruest/EndoflGreifarm/Gleitschiene_Links?KinAxis"
EndoflLaufwagen_AXIS;FLOAT32;READ;EndoflLaufwagen;Kinematic;;KinAxis;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Laufwagen:1/EndoflLaufwagen?KinAxis"
EndoflLaufwagen_DLT_POS;FLOAT32;READ;EndoflLaufwagen;Kinematic;PositioningMotor;KinDelta;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Laufwagen:1/EndoflLaufwagen?KinDelta"
EndoflLaufwagen_ACT_SPD;FLOAT32;READ;EndoflLaufwagen;Kinematic;PositioningMotor;KinSpeed;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Laufwagen:1/EndoflLaufwagen?KinSpeed"
EndoflLaufwagen_KinState;INT32;READ;EndoflLaufwagen;Kinematic;PositioningMotor;KinState;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Laufwagen:1/EndoflLaufwagen?KinState"
EndoflEnd_of_Line_Packaging_STEP_Ausschieben_in;BOOL;WRITE;EndoflEnd_of_Line_Packaging_STEP;ModelScript;;Ausschieben_in;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP?Ausschieben_in"
Laufwagen_1_Busy;BOOL;READ;Laufwagen:1;ModelScript;;Busy;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Laufwagen:1?Busy"
Pusher_1_Enabled;BOOL;WRITE;Pusher:1;ModelScript;;Enabled;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Pusher:1?Enabled"
EndoflLaufwagen_Hubausschiebpos;FLOAT32;READ;EndoflLaufwagen;ModelScript;;Hubausschiebpos;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Laufwagen:1/EndoflLaufwagen?Hubausschiebpos"
EndoflEnd_of_Line_Packaging_STEP_Laufwagen_1_Cmd_out;UINT16;WRITE;EndoflEnd_of_Line_Packaging_STEP;ModelScript;;Laufwagen_1_Cmd_out;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP?Laufwagen_1_Cmd_out"
Drehschieber_Achse_1_Set_AST;BOOL;WRITE;Drehschieber_Achse:1;ModelScript;;Set_AST;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Drehschieber:1/Drehschieber_Achse:1?Set_AST"
Drehschieber_Achse_1_Set_GST;BOOL;WRITE;Drehschieber_Achse:1;ModelScript;;Set_GST;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Drehschieber:1/Drehschieber_Achse:1?Set_GST"
EndoflEnd_of_Line_Packaging_STEP_Status_out;UINT16;WRITE;EndoflEnd_of_Line_Packaging_STEP;ModelScript;;Status_out;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP?Status_out"
EndoflEnd_of_Line_Packaging_STEP_TriggerZaehler_out;BOOL;READ;EndoflEnd_of_Line_Packaging_STEP;ModelScript;;TriggerZaehler_out;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP?TriggerZaehler_out"
EndoflLaufwagen_ZaehlerLaengs;UINT16;READ;EndoflLaufwagen;ModelScript;;ZaehlerLaengs;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Laufwagen:1/EndoflLaufwagen?ZaehlerLaengs"
EndoflLaufwagen_ZaehlerQuer;UINT16;READ;EndoflLaufwagen;ModelScript;;ZaehlerQuer;"Physics://physics/EndoflEnd_of_Line_Packaging_STEP/Laufwagen:1/EndoflLaufwagen?ZaehlerQuer"
